formula,p Band Center,formula composition,formula_obj,formula entropy,A_site_obj,B_site_obj,A_site_Z,A_site_ionization_energy,A_site_eletronegativity,A_site_radius,A_site_lewis_acid_strengths,A_site_g,A_site_p,A_site_mass,A_site_Valence_electron,A_site_Polarization_rate,Tolerance_factor
La0.167Sr0.167Li0.167Pr0.167Y0.167Bi0.167Fe1O3,-1.876735753,La0.167Sr0.167Li0.167Pr0.167Y0.167Bi0.167FeO3.0,La0.167 Sr0.167 Li0.167 Pr0.167 Y0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Li0.167Pr0.167Y0.167Bi0.167,Fe1,46.0,5.041666666666667,1.1483333333333334,1.0716666666666665,0.2793333333333333,2.333333333333333,5.0,110.88833333333334,2.6666666666666665,25.366666666666664,0.8546368023632028
La0.200Sr0.200Mg0.200Ca0.200Nd0.200Fe1O3,-2.0403495,La0.2Sr0.2Mg0.2Ca0.2Nd0.2FeO3.0,La0.2 Sr0.2 Mg0.2 Ca0.2 Nd0.2 Fe1 O3,-1.8368555699861953,La0.2Sr0.2Mg0.2Ca0.2Nd0.2,Fe1,37.4,6.112000000000001,1.14,1.288,0.27540000000000003,2.4,5.4,87.032,2.4,29.520000000000003,0.9294391334129288
La0.167Sr0.167Ca0.167Nd0.167Eu0.167Gd0.167Fe1O3,-1.676214407,La0.167Sr0.167Ca0.167Nd0.167Eu0.167Gd0.167FeO3.0,La0.167 Sr0.167 Ca0.167 Nd0.167 Eu0.167 Gd0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Ca0.167Nd0.167Eu0.167Gd0.167,Fe1,50.333333333333336,5.788333333333334,1.1633333333333336,1.2983333333333336,0.314,2.6666666666666665,5.833333333333333,120.01,2.6666666666666665,32.58333333333333,0.933012126113301
La0.167Sr0.167Na0.167Pr0.167Sm0.167Y0.167Fe1O3,-1.814379935,La0.167Sr0.167Na0.167Pr0.167Sm0.167Y0.167FeO3.0,La0.167 Sr0.167 Na0.167 Pr0.167 Sm0.167 Y0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Pr0.167Sm0.167Y0.167,Fe1,44.33333333333333,5.623333333333333,1.1616666666666668,1.3383333333333332,0.2841666666666667,2.5,5.666666666666667,104.94999999999999,2.5,36.55000000000001,0.9468430655986124
La0.200Sr0.200Mg0.200Ba0.200Eu0.200Fe1O3,-2.184750673,La0.2Sr0.2Mg0.2Ba0.2Eu0.2FeO3.0,La0.2 Sr0.2 Mg0.2 Ba0.2 Eu0.2 Fe1 O3,-1.8368555699861953,La0.2Sr0.2Mg0.2Ba0.2Eu0.2,Fe1,45.2,5.960000000000001,1.13,1.328,0.29580000000000006,2.6,5.6000000000000005,108.02600000000001,2.4,32.36000000000001,0.9432700728982403
Sr0.500Pr0.500Fe1O3,-3.274583851,Sr0.5Pr0.5FeO3.0,Sr0.5 Pr0.5 Fe1 O3,-0.6931471805599453,Sr0.5Pr0.5,Fe1,48.5,5.58,1.1749999999999998,1.38,0.28700000000000003,2.5,6.0,114.265,2.5,33.7,0.9612502942291451
La0.167Sr0.167Na0.167Nd0.167Gd0.167Y0.167Fe1O3,-1.969730815,La0.167Sr0.167Na0.167Nd0.167Gd0.167Y0.167FeO3.0,La0.167 Sr0.167 Na0.167 Nd0.167 Gd0.167 Y0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Nd0.167Gd0.167Y0.167,Fe1,44.833333333333336,5.718333333333334,1.155,1.32,0.28683333333333333,2.5,5.666666666666667,106.65333333333334,2.5,35.983333333333334,0.940503885001178
La0.167Sr0.167Li0.167Gd0.167Y0.167Bi0.167Fe1O3,-1.363266645,La0.167Sr0.167Li0.167Gd0.167Y0.167Bi0.167FeO3.0,La0.167 Sr0.167 Li0.167 Gd0.167 Y0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Li0.167Gd0.167Y0.167Bi0.167,Fe1,46.83333333333334,5.155000000000001,1.1466666666666667,1.0483333333333333,0.282,2.333333333333333,5.0,113.61166666666668,2.6666666666666665,24.716666666666665,0.8465687543301045
La0.167Sr0.167Na0.167Nd0.167Sm0.167Gd0.167Fe1O3,-1.847663614,La0.167Sr0.167Na0.167Nd0.167Sm0.167Gd0.167FeO3.0,La0.167 Sr0.167 Na0.167 Nd0.167 Sm0.167 Gd0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Nd0.167Sm0.167Gd0.167,Fe1,48.66666666666667,5.621666666666667,1.1466666666666667,1.3133333333333332,0.29433333333333334,2.5,5.666666666666667,116.89500000000001,2.5,35.9,0.9381987284202926
La0.200Sr0.200Na0.200Sm0.200Bi0.200Fe1O3,-2.160694955,La0.2Sr0.2Na0.2Sm0.2Bi0.2FeO3.0,La0.2 Sr0.2 Na0.2 Sm0.2 Bi0.2 Fe1 O3,-1.3862943611198906,La0.2Sr0.2Na0.2Sm0.2Bi0.2,Fe1,50.2,5.868,1.274,1.292,0.28980000000000006,2.4000000000000004,5.6000000000000005,121.77199999999999,2.8,31.640000000000004,0.9308222273614601
La0.200Sr0.200Ba0.200Sm0.200Bi0.200Fe1O3,-2.090130119,La0.2Sr0.2Ba0.2Sm0.2Bi0.2FeO3.0,La0.2 Sr0.2 Ba0.2 Sm0.2 Bi0.2 Fe1 O3,-1.3862943611198906,La0.2Sr0.2Ba0.2Sm0.2Bi0.2,Fe1,59.2,5.882000000000001,1.266,1.336,0.33220000000000005,2.8000000000000003,6.000000000000001,144.64000000000001,3.0,30.920000000000005,0.9460362607953026
La0.167Sr0.167K0.167Pr0.167Nd0.167Eu0.167Fe1O3,-1.720304542,La0.167Sr0.167K0.167Pr0.167Nd0.167Eu0.167FeO3.0,La0.167 Sr0.167 K0.167 Pr0.167 Nd0.167 Eu0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167K0.167Pr0.167Nd0.167Eu0.167,Fe1,49.333333333333336,5.38,1.135,1.3716666666666668,0.2908333333333334,2.5,5.833333333333333,117.12333333333335,2.5,38.00000000000001,0.9583688485030386
La0.167Sr0.167Na0.167Ca0.167Pr0.167Eu0.167Fe1O3,-1.417088043,La0.167Sr0.167Na0.167Ca0.167Pr0.167Eu0.167FeO3.0,La0.167 Sr0.167 Na0.167 Ca0.167 Pr0.167 Eu0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Ca0.167Pr0.167Eu0.167,Fe1,41.333333333333336,5.61,1.1300000000000001,1.3416666666666666,0.26749999999999996,2.3333333333333335,5.5,97.07833333333333,2.3333333333333335,34.63333333333334,0.9479956438890549
La0.167Sr0.167Na0.167Ca0.167Eu0.167Gd0.167Fe1O3,-1.662389342,La0.167Sr0.167Na0.167Ca0.167Eu0.167Gd0.167FeO3.0,La0.167 Sr0.167 Na0.167 Ca0.167 Eu0.167 Gd0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Ca0.167Eu0.167Gd0.167,Fe1,42.16666666666667,5.723333333333334,1.1283333333333336,1.3183333333333334,0.2701666666666667,2.3333333333333335,5.5,99.80166666666668,2.3333333333333335,33.98333333333334,0.9399275958559568
