formula,p Band Center,formula entropy,A_site_Z,A_site_ionization_energy,A_site_eletronegativity,A_site_radius,A_site_lewis_acid_strengths,A_site_g,A_site_p,A_site_mass,A_site_Valence_electron,A_site_Polarization_rate,Tolerance_factor,A_minus_B_electronegativity,polarizability_density,ionic_potential,radius_times_eneg,entropy_times_eneg,entropy_times_polarization,entropy_per_valence,ionization_energy_per_radius,polarization_per_mass,lewis_strength_per_radius,mass_times_radius,entropy_times_ionization,log_mass,radius_squared,mass_per_radius3,mass_times_ionization
La0.167Sr0.167Mg0.167Pr0.167Eu0.167Gd0.167Fe1O3,-2.011358323,-2.019992658983094,48.833333333333336,6.035000000000001,1.2583333333333333,1.255,0.3225,2.6666666666666665,5.666666666666667,116.82666666666668,2.6666666666666665,31.98333333333333,0.9180286083375468,-0.5716666666666668,16.180522693699526,4.808764940239045,1.579208333333333,-2.54182409588706,-64.60609854314262,-0.7574972471186603,4.808764940239045,0.27376740470212274,0.2569721115537849,146.61746666666667,-12.190655696962976,4.760691354837533,1.5750249999999997,59.10317450430235,705.0489333333336
La0.167Sr0.167Mg0.167Pr0.167Nd0.167Gd0.167Fe1O3,-1.990172546,-2.019992658983094,48.33333333333334,6.011666666666668,1.2483333333333333,1.2666666666666668,0.3218333333333333,2.6666666666666665,5.666666666666667,115.54,2.6666666666666665,32.2,0.9220626323540962,-0.5816666666666668,15.844146377022886,4.746052631578947,1.5812222222222223,-2.521624169297229,-65.04376361925564,-0.7574972471186603,4.746052631578947,0.278691362298771,0.254078947368421,146.35066666666668,-12.143522534920036,4.7496167903531195,1.6044444444444448,56.85194634786411,694.5879666666668
La0.200Sr0.200Mg0.200Sm0.200Bi0.200Fe1O3,-2.458098063,-1.5491734975344142,50.4,6.370000000000001,1.35,1.22,0.321,2.6,5.6000000000000005,122.036,3.0,26.72,0.9059265362878994,-0.48,14.714888030275661,5.221311475409837,1.647,-2.0913842216714595,-41.39391585411955,-0.5163911658448047,5.221311475409837,0.21895178471926316,0.26311475409836066,148.88392,-9.86823517929422,4.804316083172349,1.4884,67.20606570594015,777.3693200000001
La0.167Sr0.167Mg0.167Pr0.167Nd0.167Sm0.167Fe1O3,-1.709570674,-2.019992658983094,48.0,5.926666666666668,1.2116666666666664,1.2766666666666666,0.3176666666666666,2.6666666666666665,5.666666666666667,114.39166666666668,2.6666666666666665,32.45,0.925520367225424,-0.6183333333333336,15.594883810150417,4.6422976501305495,1.5468944444444441,-2.447557771801182,-65.54876178400141,-0.7574972471186603,4.6422976501305495,0.2836745100896044,0.24882506527415138,146.0400277777778,-11.971823158906473,4.739628232469614,1.6298777777777778,54.974568582931376,677.9612777777779
La0.167Sr0.167Mg0.167Sm0.167Eu0.167Y0.167Fe1O3,-1.693898753,-2.019992658983094,45.16666666666666,6.075,1.1916666666666669,1.2583333333333333,0.3093333333333333,2.6666666666666665,5.666666666666667,107.01166666666668,2.6666666666666665,31.916666666666664,0.9191811866279896,-0.6383333333333332,16.01881641649852,4.827814569536424,1.499513888888889,-2.407157918621521,-64.47143236587708,-0.7574972471186603,4.827814569536424,0.2982540844456211,0.2458278145695364,134.65634722222225,-12.271455403322298,4.672937862786015,1.5834027777777777,53.70862379394887,650.0958750000001
La0.167Sr0.167Nd0.167Gd0.167Y0.167Bi0.167Fe1O3,-2.045203774,-1.6094379124341005,56.833333333333336,6.076666666666667,1.336666666666667,1.26,0.3438333333333334,2.833333333333333,6.0,137.65166666666667,3.166666666666666,30.550000000000004,0.919757475773211,-0.4933333333333332,15.272128839778123,4.822751322751323,1.6842000000000004,-2.151282009620248,-49.168328224861774,-0.5082435512949792,4.822751322751323,0.22193701492898743,0.2728835978835979,173.4411,-9.780017714557884,4.924726339518705,1.5876000000000001,68.81289650878968,836.4632944444445
La0.167Sr0.167Na0.167Mg0.167Gd0.167Y0.167Fe1O3,-1.776490753,-2.019992658983094,36.833333333333336,6.071666666666666,1.1833333333333336,1.28,0.269,2.333333333333333,5.333333333333334,86.665,2.333333333333333,33.28333333333334,0.9266729455158664,-0.6466666666666665,15.87073008219401,4.743489583333333,1.514666666666667,-2.3903246464633283,-67.23208899982066,-0.8657111395641833,4.743489583333333,0.38404584703551997,0.21015625000000002,110.9312,-12.26472209445902,4.462050111393274,1.6384,41.32509231567382,526.2009916666667
La0.167Sr0.167Mg0.167Ba0.167Pr0.167Y0.167Fe1O3,-1.952676941,-2.019992658983094,43.49999999999999,5.970000000000001,1.1783333333333337,1.34,0.3016666666666666,2.6666666666666665,5.666666666666667,102.99833333333336,2.5,33.33333333333333,0.947419354743834,-0.6516666666666664,13.853654427794194,4.455223880597015,1.5789666666666673,-2.380224683168413,-67.33308863276979,-0.8079970635932376,4.455223880597015,0.32362983219793184,0.22512437810945266,138.01776666666672,-12.059356174129073,4.634712806868945,1.7956000000000003,42.80709949916269,614.9000500000002
La0.167Sr0.167Mg0.167Ba0.167Sm0.167Gd0.167Fe1O3,-1.75942323,-2.019992658983094,48.16666666666667,5.986666666666667,1.1683333333333334,1.31,0.3118333333333333,2.6666666666666665,5.666666666666667,115.96333333333337,2.5,32.60000000000001,0.9370461501298502,-0.6616666666666666,14.501192344971804,4.56997455470738,1.530516666666667,-2.3600247565785817,-65.85176068284889,-0.8079970635932376,4.56997455470738,0.28112334358561614,0.23804071246819333,151.91196666666673,-12.093022718445457,4.753274049184751,1.7161000000000002,51.58302458990021,694.2338222222224
La0.167Sr0.167K0.167Mg0.167Gd0.167Y0.167Fe1O3,-1.681362658,-2.019992658983094,38.16666666666667,5.9383333333333335,1.1650000000000005,1.3216666666666663,0.2675,2.333333333333333,5.5,89.35000000000001,2.333333333333333,34.866666666666674,0.9410801741463992,-0.6649999999999996,15.102353063596818,4.493064312736445,1.539741666666667,-2.3532914477153057,-70.43041070987724,-0.8657111395641833,4.493064312736445,0.3902257041596717,0.20239596469104673,118.09091666666664,-11.99538973992794,4.492561241605437,1.7468027777777768,38.701584499972526,530.5900833333334
